id_universite;nom_universite;nom_court;date_creation;dep_id
1;Centre de formation des journalistes;CFJ;1946;75
2;École nationale supérieure de création industrielle - Les Ateliers;Ensci-Les Ateliers;1982;75
3;École supérieure de journalisme de Lille;ESJ;;59
4;École supérieure d'ingénieurs en génie électrique;ESIGELEC;1901;76
5;Sciences Po Lille;IEP de Lille;1991;59
6;Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et les enseignements adaptés;INS HEA;2006;92
7;Institut national universitaire Jean-François Champollion;INU Albi;2002;81
8;Institut supérieur du bâtiment et des travaux publics;ISBA-TP MARS;1952;13
9;Le Mans Université;;1977;72
10;Neoma Business School;;2013;76
11;Centrale Lille Institut;;1854;59
12;École nationale supérieure des métiers de l'image et du son;La Fémis;;75
13;École nationale supérieure d'ingénieurs de Caen;ENSICAEN;1976;14
14;École supérieure d'informatique électronique automatique;;1958;75
15;École supérieure du bois;ESB Nantes;1934;44
16;Institut catholique de Lyon;UCLY;1875;69
17;Institut catholique de Paris;;1875;75
18;Sciences Po Toulouse;IEP de Toulouse;1948;31
19;Institut national du patrimoine;;1990;75
20;Université Sorbonne Nouvelle - Paris 3;;1971;75
21;Université Toulouse Capitole;UT1;1971;31
22;Audencia;Audencia;1900;44
23;École nationale supérieure de chimie de Rennes;ENS Chimie Rennes;1959;35
24;École nationale vétérinaire d'Alfort;;1765;94
25;École normale supérieure de Rennes;ENS de Rennes;2013;35
26;Institut national des sciences appliquées de Rennes;INSA de Rennes;1966;35
27;Skema Business School;Skema;2009;59
28;Université Paris sciences et lettres;Université PSL;2019;75
29;Centre national des arts du cirque;CNAC;;51
30;Edhec Business School;;1906;59
31;École nationale d'ingénieurs de Tarbes;ENI Tarbes;1963;65
32;École nationale supérieure d'architecture de Toulouse;ENSA Toulouse;;31
33;École nationale supérieure des arts décoratifs;ÉnsAD-Paris;;75
34;Institut catholique de Lille;;1973;59
35;Sciences Po Rennes;IEP de Rennes;1991;35
36;Institut d'ingénierie informatique de Limoges;3IL;1987;87
37;Institut national des sciences appliquées de Lyon;INSA de Lyon;1957;69
38;Institut national des sciences appliquées de Strasbourg;INSA de Strasbourg;2003;67
39;Toulouse INP;Toulouse INP;1969;31
40;Institut protestant de théologie;IPT;;75
41;Université de Rouen Normandie;;1971;76
42;Université de technologie de Belfort-Montbéliard;;1999;90
43;Université Paris-Est Créteil;;1971;94
44;Centre des hautes études de la construction;;;94
45;Centrale Nantes;;1991;44
46;École de biologie industrielle;EBI;1992;95
47;École supérieure de fonderie et de forge;ESFF;1923;92
48;Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement;Institut Agro;2019;75
49;Institut supérieur des arts de Toulouse;ISDAT;;31
50;KEDGE Business School;KEDGE BS;2013;33
51;Université de Nîmes;UNÎMES;2007;30
52;Université Sorbonne Paris Nord;;1971;93
53;Collège de France;;1530;75
54;École des hautes études commerciales de Paris;HEC Paris;1881;78
55;École normale supérieure de Lyon;ENS de Lyon;2010;69
56;École supérieure des sciences commerciales d'Angers;;;49
57;École supérieure d'ingénieurs des travaux de la construction de Metz;ESITC de Metz;1992;57
58;Institut polytechnique des sciences avancées;IPSA;1963;94
59;Institut supérieur d'électronique de Paris;;1955;75
60;Université de Rennes 1;;1971;35
61;École nationale des sciences géographiques;ENSG-Géomatique;1941;77
62;École nationale du génie de l'eau et de l'environnement de Strasbourg;;1952;67
63;École nationale supérieure de l'électronique et de ses applications de Cergy;;1975;95
64;Institut Sup'Biotech de Paris;Sup'Biotech;2003;94
65;Institut supérieur du commerce de Paris;ISC Paris Business School;;75
66;Rennes School of Business;Rennes SB;1990;35
67;Université Bordeaux Montaigne;UBM;1971;33
68;Université Paul-Valéry - Montpellier 3;;1971;34
69;Junia;;2013;59
70;École des hautes études en sciences sociales;EHESS;1975;75
71;École nationale supérieure de formation de l’enseignement agricole;;;31
72;École nationale supérieure de paysage;ENSP;1976;78
73;Sciences Po Aix;IEP d'Aix-en-Provence;1956;13
74;Sciences Po Bordeaux;IEP de Bordeaux;1948;33
75;Institut national des sciences et techniques nucléaires;INSTN;1956;91
76;Institut polytechnique de Paris;IP Paris;2019;91
77;Toulouse Business School;TBS;;31
78;Université de Paris;;2019;75
79;Université de Pau et des Pays de l'Adour;;1971;64
80;Université de technologie de Compiègne;UTC;1972;60
81;Aix-Marseille Université;AMU;2012;13
82;Centre universitaire de Mayotte;CU de Mayotte;2011;976
83;École du Louvre;EDL;1882;75
84;École nationale d'ingénieurs de Brest;;1961;29
85;École nationale supérieure des beaux-arts;ENSBA;;75
86;École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique;;2010;44
87;Excelia Group;;1988;17
88;Haute école des arts du Rhin;HEAR;;67
89;Bordeaux INP;;2009;33
90;Institut textile et chimique;ITECH;1988;69
91;Université de Haute-Alsace;;1975;68
92;Université de La Réunion;;1982;974
93;Université Toulouse III - Paul Sabatier;;1970;31
94;Université d'Orléans;;1971;45
95;Université Paris 8 - Vincennes - Saint-Denis;;1971;93
96;Institut français de la mode;;;75
97;École nationale de la météorologie;ENM;1948;31
98;École nationale supérieure des arts et industries textiles;;1881;59
99;École navale;;1827;29
100;École supérieure d'art et de design d'Amiens;Ésad Amiens;;80
101;École supérieure de chimie physique électronique de Lyon;CPE Lyon;1994;69
102;École supérieure d'électronique de l'Ouest;ESEO;1956;49
103;Groupe Institut catholique d'arts et métiers;Groupe ICAM;1898;75
104;Institut national des langues et civilisations orientales;INALCO;1669;75
105;Institut supérieur d’agriculture Rhône-Alpes;Isara-Lyon;1968;69
106;ISAE-Supméca;;1990;93
107;ISMANS;;1987;72
108;Université Panthéon-Assas;;1971;75
109;Université Paris Nanterre;;1971;92
110;Université Savoie Mont Blanc;;1979;73
111;Centrale Lyon;EC Lyon;1857;69
112;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;ISAE-ENSMA;1948;86
113;École supérieure d'ingénieurs des travaux de la construction de Paris;ESITC Paris;1992;94
114;Institut européen d'administration des affaires;;;77
115;Institut national d'histoire de l'art;;2001;75
116;Université Clermont Auvergne;;2020;63
117;Université Paris-Saclay;;2019;91
118;École nationale supérieure Louis Lumière;ENSLL;1926;93
119;École spéciale des travaux publics, du bâtiment et de l'industrie;ESTP;1891;94
120;École supérieure des technologies industrielles avancées;ESTIA;1996;64
121;EPF - École d'ingénieurs;EPF;1925;92
122;Université de Caen Normandie;UNICAEN;1971;14
123;Université de Strasbourg;;2009;67
124;Université de technologie de Troyes;;1994;10
125;Université d'Évry-Val-d'Essonne;;1991;91
